title,type,question,A,B,C,D,E,F,G,answer,image
square cube,radio,1=,2^0,2^1,2^2,2^3,2^4,2^5,2^6,A,
,radio,2=,2^0,2^1,2^2,2^3,2^4,2^5,2^6,B,
,radio,4=,2^0,2^1,2^2,2^3,2^4,2^5,2^6,C,
,radio,8=,2^0,2^1,2^2,2^3,2^4,2^5,2^6,D,
,radio,16=,2^0,2^1,2^2,2^3,2^4,2^5,2^6,E,
,radio,32=,2^0,2^1,2^2,2^3,2^4,2^5,2^6,F,
,radio,64=,2^0,2^1,2^2,2^3,2^4,2^5,2^6,G,
,radio,3=,3^0,3^1,3^2,3^3,3^4,,,B,
,radio,9=,3^0,3^1,3^2,3^3,3^4,,,C,
,radio,27=,3^0,3^1,3^2,3^3,3^4,,,D,
,radio,81=,3^0,3^1,3^2,3^3,3^4,,,E,
,radio,4=,4^0,4^1,4^2,4^3,,,,B,
,radio,16=,4^0,4^1,4^2,4^3,,,,C,
,radio,64=,4^0,4^1,4^2,4^3,,,,D,
,radio,5=,5^0,5^1,5^2,5^3,,,,B,
,radio,25=,5^0,5^1,5^2,5^3,,,,C,
,radio,125=,5^0,5^1,5^2,5^3,,,,D,
