title,type,question,A,answer,image
Sig Fig,text,How many significant figures are there in 708?,,3,
Sig Fig,text,How many significant figures are there in 0.00450?,,3,
Sig Fig,text,How many significant figures are there in 96500?,,3,
Sig Fig,text,How many significant figures are there in 10.089?,,5,
Sig Fig,text,How many significant figures are there in 0.0700?,,3,
Sig Fig,text,How many significant figures are there in 5846?,,4,
Sig Fig,text,How many significant figures are there in 0.001?,,1,
Sig Fig,text,How many significant figures are there in 84.05?,,4,
Sig Fig,text,How many significant figures are there in 78.00?,,4,
Sig Fig,text,How many significant figures are there in 850.03?,,5,
Round Off,text,Round 64349 to 1 significant figure.,,60000,
Round Off,text,Round 80492 to 2 significant figures.,,80000,
Round Off,text,Round 6739 to 3 significant figures.,,6740,
Round Off,text,Round 3065 to 2 significant figures.,,3100,
Round Off,text,Round 708.3 to 1 significant figure.,,700,
Round Off,text,Round 506.6 to 3 significant figures.,,507,
Round Off,text,Round 96.70 to 2 significant figures.,,97,
Round Off,text,Round 20.8 to 1 significant figure.,,20,
Round Off,text,Round 5.866 to 3 significant figures.,,5.87,
Round Off,text,Round 3.465 to 2 significant figures.,,3.5,
Round Off,text,Round 0.00482 to 1 significant figure.,,0.005,
Round Off,text,Round 0.00791 to 2 significant figures.,,0.0079,
Round Off,text,Round 0.0563 to 2 significant figures.,,0.056,
Round Off,text,Round 0.0897 to 1 significant figure.,,0.09,
Round Off,text,Round 0.003456 to 3 significant figures.,,0.00346,
Round Off,text,Round 0.09451 to 3 significant figures.,,0.0945,
Round Off,text,Round 0.008009 to 2 significant figures.,,0.0080,
Round Off,text,Round 0.004499 to 1 significant figure.,,0.004,
Round Off,text,Round 0.02996 to 3 significant figures.,,0.0300,
Round Off,text,Round 0.004999 to 2 significant figures.,,0.0050,
Round Off,text,Round 48.26 to 1 significant figure.,,50,
Round Off,text,Round 672.9 to 2 significant figures.,,670,
Round Off,text,Round 905.5 to 3 significant figures.,,906,
Round Off,text,Round 19.84 to 2 significant figures.,,20,
Round Off,text,Round 0.3457 to 2 significant figures.,,0.35,
Round Off,text,Round 0.7891 to 3 significant figures.,,0.789,
Round Off,text,Round 8604 to 2 significant figures.,,8600,
Round Off,text,Round 45009 to 3 significant figures.,,45000,
Round Off,text,Round 73.66 to 3 significant figures.,,73.7,
Round Off,text,Round 5.044 to 2 significant figures.,,5,

